movie_id,title,genres,keywords,overview,release_year,vote_average
1,Inception,Action Science Fiction Thriller,dream subconscious heist mind bending,A skilled thief enters dreams to steal secrets but is offered a chance to erase his past by planting an idea.,2010,8.8
2,Interstellar,Adventure Drama Science Fiction,space wormhole survival family time,A team travels through a wormhole searching for a new home for humanity while one father fights to return to his daughter.,2014,8.7
3,The Dark Knight,Action Crime Drama,joker vigilante chaos gotham hero,Batman faces a criminal mastermind whose chaos forces Gotham and its hero to confront moral limits.,2008,9.0
4,The Matrix,Action Science Fiction,simulation chosen one rebellion cyberpunk,A hacker discovers reality is a simulated prison and joins rebels fighting intelligent machines.,1999,8.7
5,Avatar,Action Adventure Fantasy Science Fiction,alien planet ecology marine native,A marine on an alien moon becomes torn between military orders and protecting a native civilization.,2009,7.9
6,The Lord of the Rings: The Fellowship of the Ring,Adventure Fantasy Drama,ring quest friendship middle earth evil,A young hobbit begins a dangerous quest to destroy a powerful ring before darkness conquers Middle-earth.,2001,8.8
7,The Lord of the Rings: The Return of the King,Adventure Fantasy Drama,king ring war friendship destiny,The final battle for Middle-earth begins as a hobbit carries the ring toward destruction.,2003,9.0
8,Harry Potter and the Sorcerer's Stone,Adventure Fantasy Family,magic school wizard friendship prophecy,An orphan discovers he is a wizard and enters a magical school filled with friendship and danger.,2001,7.6
9,The Avengers,Action Adventure Science Fiction,superhero team alien invasion marvel,Earth's heroes unite to stop an alien invasion led by a vengeful god.,2012,8.0
10,Iron Man,Action Adventure Science Fiction,superhero technology billionaire armor,A billionaire engineer builds a powerful armored suit and becomes a hero after surviving captivity.,2008,7.9
11,Guardians of the Galaxy,Action Adventure Comedy Science Fiction,space outlaws team music galaxy,A group of misfit space criminals join forces to stop a cosmic villain.,2014,8.0
12,Star Wars: A New Hope,Action Adventure Fantasy Science Fiction,space rebellion jedi empire destiny,A farm boy joins a rebellion and learns the ways of a mystical force to fight an empire.,1977,8.6
13,Star Wars: The Empire Strikes Back,Action Adventure Fantasy Science Fiction,space empire jedi training betrayal,Rebels flee imperial forces while a young hero trains and faces a shocking truth.,1980,8.7
14,Jurassic Park,Adventure Science Fiction Thriller,dinosaurs island science survival,Visitors to a dinosaur theme park must survive when the cloned creatures break free.,1993,8.2
15,Toy Story,Animation Adventure Comedy Family,toys friendship jealousy childhood,A cowboy doll feels threatened when a flashy space toy becomes a child's new favorite.,1995,8.3
16,Finding Nemo,Animation Adventure Comedy Family,ocean fish father rescue journey,A timid clownfish crosses the ocean to rescue his lost son.,2003,8.2
17,The Lion King,Animation Adventure Drama Family,lion prince kingdom courage family,A young lion prince must accept responsibility and reclaim his kingdom.,1994,8.5
18,Coco,Animation Adventure Family Music,family music memory afterlife mexican,A boy enters the land of the dead to uncover family history and follow his musical dream.,2017,8.4
19,Up,Animation Adventure Comedy Drama,balloons old man journey friendship,An elderly widower floats his house to South America and finds friendship with a young scout.,2009,8.3
20,WALL-E,Animation Adventure Science Fiction Romance,robot earth space love environment,A lonely trash robot on an abandoned Earth discovers love and a chance to save humanity.,2008,8.4
21,Titanic,Drama Romance,ship disaster love class tragedy,A poor artist and wealthy young woman fall in love aboard a doomed ocean liner.,1997,7.9
22,The Notebook,Drama Romance,love memory summer relationship,An elderly man reads a passionate love story to a woman with fading memory.,2004,7.8
23,La La Land,Comedy Drama Music Romance,jazz dreams hollywood love ambition,A musician and an actress fall in love while pursuing dreams in Los Angeles.,2016,8.0
24,A Star Is Born,Drama Music Romance,singer fame addiction relationship,A famous musician helps a talented singer rise while struggling with addiction.,2018,7.6
25,The Social Network,Biography Drama,facebook startup ambition betrayal coding,The founding of a social media giant leads to conflict over friendship ownership and ambition.,2010,7.8
26,The Imitation Game,Biography Drama Thriller,code war genius encryption history,A brilliant mathematician works to crack enemy codes during World War II while hiding personal secrets.,2014,8.0
27,The Pursuit of Happyness,Biography Drama,father poverty persistence salesman hope,A struggling father fights homelessness while pursuing a career-changing opportunity.,2006,8.0
28,Forrest Gump,Drama Romance,life history kindness destiny journey,A kind man with a simple outlook experiences major moments in American history.,1994,8.8
29,The Shawshank Redemption,Drama,prison hope friendship escape injustice,A wrongly convicted banker forms a friendship in prison and quietly plans for freedom.,1994,9.3
30,Fight Club,Drama Thriller,identity consumerism underground rebellion twist,An alienated office worker forms an underground fight club that becomes something dangerous.,1999,8.8
31,Shutter Island,Mystery Thriller,island asylum investigation memory twist,A marshal investigates a disappearance at a mental institution and questions reality.,2010,8.2
32,Gone Girl,Drama Mystery Thriller,marriage disappearance media deception,A missing wife case reveals secrets and manipulation inside a troubled marriage.,2014,8.1
33,Se7en,Crime Mystery Thriller,serial killer detectives sins dark,Two detectives hunt a serial killer whose crimes are based on the seven deadly sins.,1995,8.6
34,The Silence of the Lambs,Crime Drama Thriller,fbi serial killer psychology investigation,A young FBI trainee seeks help from an imprisoned cannibal psychiatrist to catch a killer.,1991,8.6
35,Knives Out,Comedy Crime Mystery,detective family mansion inheritance,A detective investigates the suspicious death of a wealthy novelist among a family of suspects.,2019,7.9
36,Parasite,Comedy Drama Thriller,class family deception poverty wealthy,"A poor family infiltrates a wealthy household, triggering a sharp class conflict.",2019,8.5
37,Joker,Crime Drama Thriller,loneliness society clown violence origin,A troubled man in Gotham descends into violence after rejection and humiliation.,2019,8.4
38,The Godfather,Crime Drama,mafia family power loyalty betrayal,The aging head of a crime family transfers power while his son is drawn into violence.,1972,9.2
39,Goodfellas,Biography Crime Drama,mafia gangster loyalty rise fall,A young man rises through organized crime and faces the cost of loyalty and greed.,1990,8.7
40,The Departed,Crime Drama Thriller,undercover police mafia identity betrayal,An undercover cop and a mole inside the police try to expose each other.,2006,8.5
41,Spirited Away,Animation Adventure Fantasy,spirit world girl courage magic,A young girl enters a mysterious spirit world and must save her parents.,2001,8.6
42,Your Name,Animation Drama Fantasy Romance,body swap comet love fate,Two teenagers mysteriously swap bodies and become connected across time.,2016,8.4
43,Black Panther,Action Adventure Science Fiction,superhero kingdom wakanda technology legacy,A new king protects his advanced nation while facing a challenge rooted in family history.,2018,7.3
44,Doctor Strange,Action Adventure Fantasy,magic surgeon multiverse time sorcery,A brilliant surgeon learns mystic arts after an accident changes his life.,2016,7.5
45,Mad Max: Fury Road,Action Adventure Science Fiction,desert chase survival rebellion post apocalyptic,A drifter and a warrior flee a tyrant across a wasteland in a relentless chase.,2015,8.1
46,The Martian,Adventure Drama Science Fiction,mars astronaut survival science rescue,An astronaut stranded on Mars uses science and humor to survive until rescue.,2015,8.0
47,Gravity,Drama Science Fiction Thriller,space survival astronaut disaster isolation,Two astronauts struggle to survive after debris destroys their shuttle.,2013,7.7
48,Whiplash,Drama Music,drummer ambition teacher pressure jazz,A young drummer faces an abusive instructor while chasing musical greatness.,2014,8.5
49,Inside Out,Animation Adventure Comedy Drama,emotions childhood memory family growth,The emotions inside a young girl's mind guide her through a difficult move.,2015,8.1
50,Dangal,Action Biography Drama Sport,wrestling father daughters discipline india,A former wrestler trains his daughters to compete and challenge social expectations.,2016,8.3
51,Avengers: Infinity War,Action Adventure Science Fiction,superhero thanos infinity stones battle universe,The Avengers and their allies fight to stop Thanos from collecting powerful stones and destroying half the universe.,2018,8.4
52,Avengers: Endgame,Action Adventure Drama Science Fiction,superhero time travel sacrifice team thanos,Surviving heroes attempt a dangerous time travel mission to reverse a devastating cosmic defeat.,2019,8.4
53,Spider-Man: No Way Home,Action Adventure Fantasy Science Fiction,spiderman multiverse identity villains magic,Peter Parker faces multiverse chaos after a spell brings dangerous enemies into his world.,2021,8.2
54,The Batman,Action Crime Drama Mystery,detective gotham riddler corruption vigilante,Batman investigates a sadistic killer whose clues expose corruption across Gotham city.,2022,7.8
55,Man of Steel,Action Adventure Science Fiction,superman alien earth hero origin,An alien raised on Earth must decide his purpose when his home world threatens humanity.,2013,7.1
56,Wonder Woman,Action Adventure Fantasy,amazon warrior war courage hero,An Amazon princess enters the world of humans to stop a war and discover her destiny.,2017,7.4
57,Captain America: The Winter Soldier,Action Adventure Thriller,spy conspiracy soldier shield friendship,Captain America uncovers a hidden conspiracy while facing a mysterious assassin from his past.,2014,7.8
58,Thor: Ragnarok,Action Adventure Comedy Fantasy,thor hulk asgard apocalypse comedy,Thor must escape a distant planet and save Asgard from a powerful threat.,2017,7.9
59,Ant-Man,Action Comedy Science Fiction,superhero shrinking heist technology thief,A skilled thief becomes a tiny hero using a shrinking suit for a high stakes mission.,2015,7.3
60,Deadpool,Action Comedy Adventure,antihero mercenary revenge humor mutant,A wisecracking mercenary seeks revenge after an experiment gives him unusual powers.,2016,8.0
61,John Wick,Action Thriller Crime,assassin revenge underworld dog hitman,A retired assassin returns to the criminal underworld after a personal tragedy.,2014,7.4
62,Mission: Impossible - Fallout,Action Adventure Thriller,spy mission betrayal stunts nuclear,Ethan Hunt races against time after a mission goes wrong and global disaster approaches.,2018,7.7
63,Top Gun: Maverick,Action Drama,pilot jets training legacy aviation,An experienced fighter pilot trains young aviators for a dangerous mission.,2022,8.2
64,Gladiator,Action Adventure Drama,roman arena revenge emperor warrior,A betrayed Roman general becomes a gladiator and seeks justice against a corrupt emperor.,2000,8.5
65,Braveheart,Biography Drama History War,freedom scotland rebellion warrior sacrifice,A Scottish warrior leads a rebellion against oppression and fights for freedom.,1995,8.3
66,The Prestige,Drama Mystery Science Fiction Thriller,magicians rivalry obsession illusion secret,Two rival magicians become obsessed with creating the ultimate illusion.,2006,8.5
67,Memento,Mystery Thriller,memory revenge investigation tattoos puzzle,A man with short term memory loss hunts for his wife's killer using notes and tattoos.,2000,8.4
68,Tenet,Action Science Fiction Thriller,time inversion espionage future war,A secret agent uses time inversion to prevent a future attack on the present world.,2020,7.3
69,Dune,Adventure Drama Science Fiction,desert planet spice prophecy empire,A gifted young noble travels to a dangerous desert planet that controls a powerful resource.,2021,8.0
70,Blade Runner 2049,Drama Mystery Science Fiction,replicant future identity artificial intelligence,A young blade runner discovers a secret that could change the future of humans and replicants.,2017,8.0
71,Arrival,Drama Science Fiction,aliens language communication time grief,A linguist works to communicate with alien visitors and discovers a new view of time.,2016,7.9
72,Ex Machina,Drama Science Fiction Thriller,artificial intelligence android test isolation,A programmer evaluates a humanoid artificial intelligence inside a remote research facility.,2014,7.7
73,Her,Drama Romance Science Fiction,loneliness artificial intelligence love future,A lonely writer forms an emotional relationship with an intelligent operating system.,2013,8.0
74,Eternal Sunshine of the Spotless Mind,Drama Romance Science Fiction,memory love breakup erasure relationship,A couple undergoes a procedure to erase memories of their failed relationship.,2004,8.3
75,The Truman Show,Comedy Drama Science Fiction,reality television truth life control,A man slowly discovers that his entire life is part of a hidden television show.,1998,8.2
76,Life of Pi,Adventure Drama Fantasy,survival ocean tiger faith journey,A young man survives a shipwreck while sharing a lifeboat with a tiger.,2012,7.9
77,The Lion King,Animation Adventure Drama Family,lion kingdom father destiny courage,A young lion prince learns responsibility after tragedy forces him away from home.,1994,8.5
78,Up,Animation Adventure Comedy Drama,balloons old man friendship adventure,An elderly man flies his house with balloons and finds friendship on an unexpected journey.,2009,8.3
79,Ratatouille,Animation Adventure Comedy Family,rat chef cooking paris dream,A talented rat dreams of becoming a chef in a famous Paris restaurant.,2007,8.1
80,Monsters Inc.,Animation Adventure Comedy Family,monsters children friendship doors energy,Two monsters discover that laughter and friendship are stronger than fear.,2001,8.1
81,How to Train Your Dragon,Animation Adventure Family Fantasy,dragon viking friendship courage,A young Viking befriends a dragon and changes how his village sees the creatures.,2010,8.1
82,Kung Fu Panda,Animation Action Adventure Comedy,panda kung fu destiny training hero,A clumsy panda is chosen to become a kung fu hero and protect his valley.,2008,7.6
83,Shrek,Animation Adventure Comedy Fantasy,ogre princess fairytale friendship,An ogre goes on a quest to rescue a princess and discovers unexpected friendship.,2001,7.9
84,Frozen,Animation Adventure Comedy Family,sisters ice magic kingdom love,Two royal sisters must heal their kingdom after magical ice powers create danger.,2013,7.4
85,The Pursuit of Happyness,Biography Drama,father son poverty hope perseverance,A struggling father fights homelessness while trying to build a better future for his son.,2006,8.0
86,The Green Mile,Crime Drama Fantasy,prison miracle compassion death row,A prison guard discovers a death row inmate with a mysterious healing gift.,1999,8.6
87,12 Angry Men,Crime Drama,jury justice doubt courtroom decision,A juror challenges others to reconsider a murder case and examine reasonable doubt.,1957,9.0
88,The Wolf of Wall Street,Biography Comedy Crime Drama,stock market greed money fraud ambition,A stockbroker rises through wealth and excess before facing the consequences of fraud.,2013,8.2
89,Catch Me If You Can,Biography Crime Drama,con artist pilot fraud chase,A young con artist creates false identities while an FBI agent tries to catch him.,2002,8.1
90,Slumdog Millionaire,Drama Romance,quiz india destiny love poverty,A young man from Mumbai answers questions on a game show through memories of his life.,2008,8.0
91,3 Idiots,Comedy Drama,college friendship engineering dreams pressure,Three engineering students question academic pressure and search for their real passion.,2009,8.4
92,PK,Comedy Drama Science Fiction,alien religion society questions india,An alien stranded on Earth questions social beliefs while searching for his lost device.,2014,8.1
93,Taare Zameen Par,Drama Family,child dyslexia art teacher school,A caring teacher helps a misunderstood child with dyslexia discover his talent.,2007,8.3
94,Lagaan,Drama Musical Sport,cricket village colonial tax freedom,Villagers challenge colonial rulers to a cricket match to avoid an unfair tax.,2001,8.1
95,RRR,Action Drama,friendship rebellion revolution india action,Two brave men form a powerful friendship while fighting against colonial rule.,2022,7.8
96,Baahubali: The Beginning,Action Drama Fantasy,kingdom warrior destiny revenge epic,A young man discovers his royal past and becomes part of an epic kingdom conflict.,2015,8.0
97,Baahubali 2: The Conclusion,Action Drama Fantasy,king revenge family kingdom war,A prince rises to reclaim justice and reveal the truth behind a kingdom betrayal.,2017,8.2
98,Kantara,Action Adventure Drama Thriller,village tradition forest spirit conflict,A village conflict connects law land and ancient spiritual traditions.,2022,8.2
99,Vikram,Action Crime Thriller,agent drugs revenge undercover,A special investigator uncovers a dangerous criminal network linked to a masked warrior.,2022,8.3
100,Drishyam,Crime Drama Mystery Thriller,family crime investigation secret,A father protects his family after a crime draws them into a tense police investigation.,2015,8.2
101,The Godfather Part II,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2016,8.1
102,Pulp Fiction,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2017,8.2
103,Saving Private Ryan,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2018,8.3
104,Schindler's List,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2019,8.4
105,Taxi Driver,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",2020,8.5
106,Raging Bull,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",2021,8.6
107,Casino,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2022,8.7
108,Heat,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",2023,8.8
109,Scarface,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2024,8.9
110,The Untouchables,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1970,9.0
111,The Irishman,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1971,9.1
112,Once Upon a Time in America,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1972,6.4
113,A Bronx Tale,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1973,6.5
114,Zodiac,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1974,6.6
115,Prisoners,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1975,6.7
116,Mystic River,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1976,6.8
117,L.A. Confidential,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1977,6.9
118,Django Unchained,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1978,7.0
119,Inglourious Basterds,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1979,7.1
120,Once Upon a Time in Hollywood,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1980,7.2
121,Kill Bill: Vol. 1,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1981,7.3
122,Kill Bill: Vol. 2,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1982,7.4
123,Reservoir Dogs,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1983,7.5
124,The Hateful Eight,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1984,7.6
125,Jackie Brown,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1985,7.7
126,No Country for Old Men,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1986,7.8
127,Fargo,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1987,7.9
128,The Big Lebowski,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1988,8.0
129,O Brother Where Art Thou,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1989,8.1
130,True Grit,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1990,8.2
131,Unforgiven,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1991,8.3
132,Gran Torino,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1992,8.4
133,Million Dollar Baby,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1993,8.5
134,American Sniper,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1994,8.6
135,Sully,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1995,8.7
136,The Mule,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1996,8.8
137,Letters from Iwo Jima,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1997,8.9
138,Kingdom of Heaven,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1998,9.0
139,Troy,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1999,9.1
140,Alexander,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",2000,6.4
141,300,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",2001,6.5
142,The Last Samurai,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2002,6.6
143,Master and Commander,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2003,6.7
144,Apocalypto,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2004,6.8
145,The Patriot,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",2005,6.9
146,Black Hawk Down,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",2006,7.0
147,Hacksaw Ridge,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2007,7.1
148,Dunkirk,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",2008,7.2
149,1917,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2009,7.3
150,Fury,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",2010,7.4
151,Enemy at the Gates,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",2011,7.5
152,Pearl Harbor,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2012,7.6
153,We Were Soldiers,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2013,7.7
154,The Hurt Locker,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2014,7.8
155,Zero Dark Thirty,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",2015,7.9
156,Top Gun,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",2016,8.0
157,Mission: Impossible,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",2017,8.1
158,Mission: Impossible II,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",2018,8.2
159,Mission: Impossible III,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2019,8.3
160,Mission: Impossible Ghost Protocol,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",2020,8.4
161,Mission: Impossible Rogue Nation,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",2021,8.5
162,Mission: Impossible Fallout,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2022,8.6
163,Mission: Impossible Dead Reckoning,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2023,8.7
164,Edge of Tomorrow,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2024,8.8
165,Minority Report,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1970,8.9
166,War of the Worlds,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1971,9.0
167,Oblivion,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1972,9.1
